,Time,K,N,Learning Rate,Train AUC,Test AUC
259,0.8762043249998896,10,6,0.03,0.9363999962806702,0.8425999879837036
260,0.875665612000148,1,7,0.03,0.9291999936103821,0.8339999914169312
261,0.93472371200005,2,7,0.03,0.9380999803543091,0.8374000191688538
262,0.8977430470001764,3,7,0.03,0.9366000294685364,0.8375999927520752
263,1.171794292999948,4,7,0.03,0.9387999773025513,0.8421000242233276
264,0.869033823999871,5,7,0.03,0.9319000244140625,0.8363000154495239
265,0.8798101949998909,6,7,0.03,0.9315000176429749,0.836899995803833
266,0.8721121599999151,7,7,0.03,0.9379000067710876,0.8396000266075134
267,1.2668624410000575,8,7,0.03,0.9383000135421753,0.839900016784668
268,1.2653618169999845,9,7,0.03,0.9352999925613403,0.8391000032424927
269,1.2706115019998379,10,7,0.03,0.9377999901771545,0.8406999707221985
270,0.8702546249999159,1,8,0.03,0.9397000074386597,0.8417999744415283
271,0.8762436049998996,2,8,0.03,0.9333000183105469,0.838100016117096
272,1.2658480779998627,3,8,0.03,0.9412999749183655,0.8425999879837036
273,0.8759586129999661,4,8,0.03,0.9369999766349792,0.8379999995231628
274,0.878778284999953,5,8,0.03,0.9301999807357788,0.835099995136261
275,1.004007748000049,6,8,0.03,0.9343000054359436,0.8377000093460083
276,0.891714654999987,7,8,0.03,0.9312000274658203,0.8345000147819519
277,0.8816387219999342,8,8,0.03,0.9332000017166138,0.8355000019073486
278,1.267912448000061,9,8,0.03,0.9350000023841858,0.8384000062942505
279,0.8824672590001228,10,8,0.03,0.9437999725341797,0.8420000076293945
280,0.8846866880001016,1,9,0.03,0.9366999864578247,0.8410999774932861
281,0.8856258209998487,2,9,0.03,0.9368000030517578,0.8407999873161316
282,1.1470770799999173,3,9,0.03,0.9337999820709229,0.838699996471405
283,0.8787617330001467,4,9,0.03,0.9376999735832214,0.8414999842643738
284,1.2227285030000985,5,9,0.03,0.9319000244140625,0.8345000147819519
285,0.8784671150001486,6,9,0.03,0.9355999827384949,0.8371999859809875
286,1.0312097759999688,7,9,0.03,0.9369000196456909,0.8375999927520752
287,0.8708474969998861,8,9,0.03,0.9323999881744385,0.8357999920845032
288,0.874205019000101,9,9,0.03,0.9337000250816345,0.838699996471405
289,0.8834642550000353,10,9,0.03,0.933899998664856,0.8378999829292297
290,0.8811041660001138,1,10,0.03,0.9399999976158142,0.84170001745224
291,0.8870161580000513,2,10,0.03,0.9413999915122986,0.8432000279426575
292,0.8725450389999878,3,10,0.03,0.9347000122070312,0.838699996471405
293,0.8709649919999265,4,10,0.03,0.9398000240325928,0.8414999842643738
294,0.8760664470000847,5,10,0.03,0.9253000020980835,0.8303999900817871
295,0.8932731419999982,6,10,0.03,0.9445000290870667,0.8425999879837036
296,0.8867586809999466,7,10,0.03,0.9372000098228455,0.8402000069618225
297,1.1486443979999876,8,10,0.03,0.9345999956130981,0.836899995803833
298,0.8887166970000635,9,10,0.03,0.9377999901771545,0.84170001745224
299,0.888449380999873,10,10,0.03,0.9377999901771545,0.8402000069618225
300,0.8962444640001195,1,1,0.04,0.9528999924659729,0.8493000268936157
301,0.903524945000072,2,1,0.04,0.9550999999046326,0.8493000268936157
302,1.2707188740000674,3,1,0.04,0.953000009059906,0.8464000225067139
303,0.9155361109999376,4,1,0.04,0.9564999938011169,0.8521000146865845
304,1.0342319700000644,5,1,0.04,0.953499972820282,0.8490999937057495
305,1.2693420829998558,6,1,0.04,0.9524999856948853,0.8474000096321106
306,0.8719414979998419,7,1,0.04,0.9545999765396118,0.8507000207901001
307,1.193051892000085,8,1,0.04,0.953499972820282,0.8500000238418579
308,1.0099351199999091,9,1,0.04,0.9524999856948853,0.8475000262260437
309,1.0969177260001288,10,1,0.04,0.951200008392334,0.8467000126838684
310,0.9487498949999917,1,2,0.04,0.9559000134468079,0.8507000207901001
311,0.9341238829999838,2,2,0.04,0.9520000219345093,0.8460000157356262
312,1.0197202519998427,3,2,0.04,0.9559999704360962,0.8492000102996826
313,1.4379417339998781,4,2,0.04,0.9567000269889832,0.8481000065803528
314,0.8760070099999666,5,2,0.04,0.948199987411499,0.8440999984741211
315,1.2595626500001345,6,2,0.04,0.9555000066757202,0.8511000275611877
316,1.2826704760000212,7,2,0.04,0.9531000256538391,0.8489000201225281
317,1.0289838539997618,8,2,0.04,0.9545999765396118,0.8503000140190125
318,1.2973143990002427,9,2,0.04,0.9495000243186951,0.8452000021934509
319,1.258625605999896,10,2,0.04,0.9509000182151794,0.8463000059127808
320,1.2599995420000596,1,3,0.04,0.9495000243186951,0.84579998254776
321,1.2614845419998346,2,3,0.04,0.9523000121116638,0.8485000133514404
322,1.192857125000046,3,3,0.04,0.9569000005722046,0.8489999771118164
323,1.2652205610002056,4,3,0.04,0.953499972820282,0.847599983215332
324,0.8691250440001568,5,3,0.04,0.9574000239372253,0.8515999913215637
325,0.8962518480002473,6,3,0.04,0.9485999941825867,0.8445000052452087
326,1.0705846509999901,7,3,0.04,0.9556999802589417,0.8515999913215637
327,0.8965823559997261,8,3,0.04,0.9580000042915344,0.8526999950408936
328,0.8918967939998765,9,3,0.04,0.9488999843597412,0.8458999991416931
329,1.2625254429999586,10,3,0.04,0.9509999752044678,0.8474000096321106
330,0.8793832589999511,1,4,0.04,0.9541000127792358,0.8485999703407288
331,0.8811696369998572,2,4,0.04,0.9520999789237976,0.8471999764442444
332,0.8685914140000932,3,4,0.04,0.9555000066757202,0.8517000079154968
333,0.892413963999843,4,4,0.04,0.9517999887466431,0.847100019454956
334,0.9138718929998504,5,4,0.04,0.9534000158309937,0.8490999937057495
335,1.1596840380002504,6,4,0.04,0.9502999782562256,0.8463000059127808
336,1.0579146660002152,7,4,0.04,0.949999988079071,0.8458999991416931
337,0.8723536419997799,8,4,0.04,0.951200008392334,0.8442999720573425
338,0.8740766160003659,9,4,0.04,0.9556000232696533,0.8501999974250793
339,0.8662207339998531,10,4,0.04,0.955299973487854,0.8496000170707703
340,0.8652760059999309,1,5,0.04,0.9517999887466431,0.847599983215332
341,0.8761366069998076,2,5,0.04,0.9506999850273132,0.8457000255584717
342,0.8829654389996904,3,5,0.04,0.9473999738693237,0.8435999751091003
343,0.9017267360000005,4,5,0.04,0.9513999819755554,0.8440999984741211
344,1.0322692449999522,5,5,0.04,0.9559999704360962,0.8507000207901001
345,0.8719850119996408,6,5,0.04,0.9501000046730042,0.8446999788284302
346,1.1598757540000406,7,5,0.04,0.9545999765396118,0.8500999808311462
347,0.8698843740003213,8,5,0.04,0.95169997215271,0.8476999998092651
348,0.9522232729996176,9,5,0.04,0.9462000131607056,0.840499997138977
349,1.2567880279998462,10,5,0.04,0.9531999826431274,0.848800003528595
